value,layer,raw_norm
honesty,17,3.053205
honesty,18,3.259469
honesty,19,3.560362
honesty,20,3.874243
honesty,21,4.197125
honesty,22,4.372689
honesty,23,4.718962
honesty,24,5.10144
honesty,25,5.523181
honesty,26,6.066841
honesty,27,6.564406
honesty,28,7.373365
honesty,29,8.248446
honesty,30,9.420994
honesty,31,12.307394
impartiality,0,0.041078
impartiality,1,0.065201
impartiality,2,0.100109
impartiality,3,0.173686
impartiality,4,0.238727
impartiality,5,0.285233
impartiality,6,0.310836
impartiality,7,0.356159
impartiality,8,0.391086
impartiality,9,0.397508
impartiality,10,0.424139
impartiality,11,0.439352
impartiality,12,0.522028
impartiality,13,0.763837
impartiality,14,1.014979
impartiality,15,1.088559
impartiality,16,1.184132
impartiality,17,1.419144
impartiality,18,1.489372
impartiality,19,1.53944
impartiality,20,1.666817
impartiality,21,1.7436
impartiality,22,1.827509
impartiality,23,1.963243
impartiality,24,2.131679
impartiality,25,2.294757
impartiality,26,2.545209
impartiality,27,2.816952
impartiality,28,3.197051
impartiality,29,3.621899
impartiality,30,4.035973
impartiality,31,4.742318
integrity,0,0.030494
integrity,1,0.051414
integrity,2,0.080903
integrity,3,0.144329
integrity,4,0.220012
integrity,5,0.242391
integrity,6,0.257253
integrity,7,0.306246
integrity,8,0.350185
integrity,9,0.35826
integrity,10,0.368673
integrity,11,0.380026
integrity,12,0.522149
integrity,13,0.908842
integrity,14,1.522057
integrity,15,1.536178
integrity,16,1.783858
integrity,17,2.129639
integrity,18,2.152824
integrity,19,2.283734
integrity,20,2.379252
integrity,21,2.563332
integrity,22,2.638391
integrity,23,2.839259
integrity,24,2.97536
integrity,25,3.18794
integrity,26,3.505821
integrity,27,3.759496
integrity,28,4.136779
integrity,29,4.664111
integrity,30,5.267748
integrity,31,7.129657
kindness,0,0.035842
kindness,1,0.058138
kindness,2,0.087077
kindness,3,0.15327
kindness,4,0.222533
kindness,5,0.252605
kindness,6,0.275217
kindness,7,0.293184
kindness,8,0.313137
kindness,9,0.342133
kindness,10,0.349588
kindness,11,0.350985
kindness,12,0.385162
kindness,13,0.554974
kindness,14,0.674897
kindness,15,0.825013
kindness,16,0.998613
kindness,17,1.144095
kindness,18,1.184354
kindness,19,1.240833
kindness,20,1.313829
kindness,21,1.385887
kindness,22,1.449279
kindness,23,1.5449
kindness,24,1.605718
kindness,25,1.767087
kindness,26,1.948482
kindness,27,2.147646
